moovne	2013-08-21	100.00	110.00	10.00	571	62810.00	5710.00
moovne	2013-08-21	200.00	220.00	20.00	852	187440.00	17040.00
moovne	2013-08-21	500.00	550.00	50.00	552	303600.00	27600.00
moovne	2013-08-22	100.00	110.00	10.00	672	73920.00	6720.00
moovne	2013-08-22	200.00	220.00	20.00	1002	220440.00	20040.00
moovne	2013-08-22	500.00	550.00	50.00	642	353100.00	32100.00
moovne	2013-08-23	100.00	110.00	10.00	584	64240.00	5840.00
moovne	2013-08-23	200.00	220.00	20.00	982	216040.00	19640.00
moovne	2013-08-23	500.00	550.00	50.00	606	333300.00	30300.00
moovne	2013-08-24	100.00	110.00	10.00	624	68640.00	6240.00
moovne	2013-08-24	200.00	220.00	20.00	1065	234300.00	21300.00
moovne	2013-08-24	500.00	550.00	50.00	676	371800.00	33800.00
moovne	2013-08-25	100.00	110.00	10.00	617	67870.00	6170.00
moovne	2013-08-25	200.00	220.00	20.00	974	214280.00	19480.00
moovne	2013-08-25	500.00	550.00	50.00	644	354200.00	32200.00
moovne	2013-08-26	100.00	110.00	10.00	534	58740.00	5340.00
moovne	2013-08-26	200.00	220.00	20.00	833	183260.00	16660.00
moovne	2013-08-26	500.00	550.00	50.00	661	363550.00	33050.00
moovne	2013-08-27	100.00	110.00	10.00	643	70730.00	6430.00
moovne	2013-08-27	200.00	220.00	20.00	1090	239800.00	21800.00
moovne	2013-08-27	500.00	550.00	50.00	784	431200.00	39200.00
moovne	2013-08-28	100.00	110.00	10.00	542	59620.00	5420.00
moovne	2013-08-28	200.00	220.00	20.00	996	219120.00	19920.00
moovne	2013-08-28	500.00	550.00	50.00	781	429550.00	39050.00
moovne	2013-08-29	100.00	110.00	10.00	672	73920.00	6720.00
moovne	2013-08-29	200.00	220.00	20.00	1114	245080.00	22280.00
moovne	2013-08-29	500.00	550.00	50.00	863	474650.00	43150.00
moovne	2013-08-30	100.00	110.00	10.00	660	72600.00	6600.00
moovne	2013-08-30	200.00	220.00	20.00	992	218240.00	19840.00
moovne	2013-08-30	500.00	550.00	50.00	779	428450.00	38950.00
moovne	2013-08-31	100.00	110.00	10.00	607	66770.00	6070.00
moovne	2013-08-31	200.00	220.00	20.00	1010	222200.00	20200.00
moovne	2013-08-31	500.00	550.00	50.00	845	464750.00	42250.00
moovne	2013-09-01	100.00	110.00	10.00	622	68420.00	6220.00
moovne	2013-09-01	200.00	220.00	20.00	1017	223740.00	20340.00
moovne	2013-09-01	500.00	550.00	50.00	805	442750.00	40250.00
moovne	2013-09-02	100.00	110.00	10.00	646	71060.00	6460.00
moovne	2013-09-02	200.00	220.00	20.00	1039	228580.00	20780.00
moovne	2013-09-02	500.00	550.00	50.00	831	457050.00	41550.00
moovne	2013-09-03	100.00	110.00	10.00	828	91080.00	8280.00
moovne	2013-09-03	200.00	220.00	20.00	1358	298760.00	27160.00
moovne	2013-09-03	500.00	550.00	50.00	918	504900.00	45900.00
moovne	2013-09-04	100.00	110.00	10.00	682	75020.00	6820.00
moovne	2013-09-04	200.00	220.00	20.00	1223	269060.00	24460.00
moovne	2013-09-04	500.00	550.00	50.00	883	485650.00	44150.00
moovne	2013-09-05	100.00	110.00	10.00	657	72270.00	6570.00
moovne	2013-09-05	200.00	220.00	20.00	1114	245080.00	22280.00
moovne	2013-09-05	500.00	550.00	50.00	871	479050.00	43550.00
moovne	2013-09-06	100.00	110.00	10.00	634	69740.00	6340.00
moovne	2013-09-06	200.00	220.00	20.00	1031	226820.00	20620.00
moovne	2013-09-06	500.00	550.00	50.00	719	395450.00	35950.00
moovne	2013-09-07	100.00	110.00	10.00	606	66660.00	6060.00
moovne	2013-09-07	200.00	220.00	20.00	1052	231440.00	21040.00
moovne	2013-09-07	500.00	550.00	50.00	748	411400.00	37400.00
moovne	2013-09-08	100.00	110.00	10.00	688	75680.00	6880.00
moovne	2013-09-08	200.00	220.00	20.00	1158	254760.00	23160.00
moovne	2013-09-08	500.00	550.00	50.00	809	444950.00	40450.00
moovne	2013-09-09	100.00	110.00	10.00	703	77330.00	7030.00
moovne	2013-09-09	200.00	220.00	20.00	1274	280280.00	25480.00
moovne	2013-09-09	500.00	550.00	50.00	843	463650.00	42150.00
moovne	2013-09-10	100.00	110.00	10.00	667	73370.00	6670.00
moovne	2013-09-10	200.00	220.00	20.00	1183	260260.00	23660.00
moovne	2013-09-10	500.00	550.00	50.00	845	464750.00	42250.00
moovne	2013-09-11	100.00	110.00	10.00	725	79750.00	7250.00
moovne	2013-09-11	200.00	220.00	20.00	1182	260040.00	23640.00
moovne	2013-09-11	500.00	550.00	50.00	847	465850.00	42350.00
moovne	2013-09-12	100.00	110.00	10.00	700	77000.00	7000.00
moovne	2013-09-12	200.00	220.00	20.00	1222	268840.00	24440.00
moovne	2013-09-12	500.00	550.00	50.00	855	470250.00	42750.00
moovne	2013-09-13	100.00	110.00	10.00	737	81070.00	7370.00
moovne	2013-09-13	200.00	220.00	20.00	1200	264000.00	24000.00
moovne	2013-09-13	500.00	550.00	50.00	873	480150.00	43650.00
moovne	2013-09-14	100.00	110.00	10.00	675	74250.00	6750.00
moovne	2013-09-14	200.00	220.00	20.00	1166	256520.00	23320.00
moovne	2013-09-14	500.00	550.00	50.00	803	441650.00	40150.00
moovne	2013-09-15	100.00	110.00	10.00	699	76890.00	6990.00
moovne	2013-09-15	200.00	220.00	20.00	1189	261580.00	23780.00
moovne	2013-09-15	500.00	550.00	50.00	903	496650.00	45150.00
moovne	2013-09-16	100.00	110.00	10.00	762	83820.00	7620.00
moovne	2013-09-16	200.00	220.00	20.00	1190	261800.00	23800.00
moovne	2013-09-16	500.00	550.00	50.00	869	477950.00	43450.00
moovne	2013-09-17	100.00	110.00	10.00	642	70620.00	6420.00
moovne	2013-09-17	200.00	220.00	20.00	1096	241120.00	21920.00
moovne	2013-09-17	500.00	550.00	50.00	751	413050.00	37550.00
moovne	2013-09-18	100.00	110.00	10.00	615	67650.00	6150.00
moovne	2013-09-18	200.00	220.00	20.00	953	209660.00	19060.00
moovne	2013-09-18	500.00	550.00	50.00	659	362450.00	32950.00
moovne	2013-09-19	100.00	110.00	10.00	653	71830.00	6530.00
moovne	2013-09-19	200.00	220.00	20.00	1082	238040.00	21640.00
moovne	2013-09-19	500.00	550.00	50.00	702	386100.00	35100.00
moovne	2013-09-20	100.00	110.00	10.00	661	72710.00	6610.00
moovne	2013-09-20	200.00	220.00	20.00	1164	256080.00	23280.00
moovne	2013-09-20	500.00	550.00	50.00	718	394900.00	35900.00
moovne	2013-09-21	100.00	110.00	10.00	506	55660.00	5060.00
moovne	2013-09-21	200.00	220.00	20.00	835	183700.00	16700.00
moovne	2013-09-21	500.00	550.00	50.00	552	303600.00	27600.00
moovne	2013-09-22	100.00	110.00	10.00	501	55110.00	5010.00
moovne	2013-09-22	200.00	220.00	20.00	868	190960.00	17360.00
moovne	2013-09-22	500.00	550.00	50.00	511	281050.00	25550.00
moovne	2013-09-23	100.00	110.00	10.00	466	51260.00	4660.00
moovne	2013-09-23	200.00	220.00	20.00	778	171160.00	15560.00
moovne	2013-09-23	500.00	550.00	50.00	559	307450.00	27950.00
moovne	2013-09-24	100.00	110.00	10.00	467	51370.00	4670.00
moovne	2013-09-24	200.00	220.00	20.00	781	171820.00	15620.00
moovne	2013-09-24	500.00	550.00	50.00	533	293150.00	26650.00
moovne	2013-09-25	100.00	110.00	10.00	459	50490.00	4590.00
moovne	2013-09-25	200.00	220.00	20.00	699	153780.00	13980.00
moovne	2013-09-25	500.00	550.00	50.00	470	258500.00	23500.00
moovne	2013-09-26	100.00	110.00	10.00	553	60830.00	5530.00
moovne	2013-09-26	200.00	220.00	20.00	929	204380.00	18580.00
moovne	2013-09-26	500.00	550.00	50.00	615	338250.00	30750.00
moovne	2013-09-27	100.00	110.00	10.00	482	53020.00	4820.00
moovne	2013-09-27	200.00	220.00	20.00	774	170280.00	15480.00
moovne	2013-09-27	500.00	550.00	50.00	489	268950.00	24450.00
moovne	2013-09-28	100.00	110.00	10.00	572	62920.00	5720.00
moovne	2013-09-28	200.00	220.00	20.00	898	197560.00	17960.00
moovne	2013-09-28	500.00	550.00	50.00	560	308000.00	28000.00
moovne	2013-09-29	100.00	110.00	10.00	479	52690.00	4790.00
moovne	2013-09-29	200.00	220.00	20.00	796	175120.00	15920.00
moovne	2013-09-29	500.00	550.00	50.00	498	273900.00	24900.00
moovne	2013-09-30	100.00	110.00	10.00	453	49830.00	4530.00
moovne	2013-09-30	200.00	220.00	20.00	726	159720.00	14520.00
moovne	2013-09-30	500.00	550.00	50.00	480	264000.00	24000.00
moovne	2013-10-01	100.00	110.00	10.00	475	52250.00	4750.00
moovne	2013-10-01	200.00	220.00	20.00	769	169180.00	15380.00
moovne	2013-10-01	500.00	550.00	50.00	481	264550.00	24050.00
moovne	2013-10-02	100.00	110.00	10.00	414	45540.00	4140.00
moovne	2013-10-02	200.00	220.00	20.00	785	172700.00	15700.00
moovne	2013-10-02	500.00	550.00	50.00	432	237600.00	21600.00
moovne	2013-10-03	100.00	110.00	10.00	447	49170.00	4470.00
moovne	2013-10-03	200.00	220.00	20.00	726	159720.00	14520.00
moovne	2013-10-03	500.00	550.00	50.00	424	233200.00	21200.00
moovne	2013-10-04	100.00	110.00	10.00	495	54450.00	4950.00
moovne	2013-10-04	200.00	220.00	20.00	746	164120.00	14920.00
moovne	2013-10-04	500.00	550.00	50.00	440	242000.00	22000.00
moovne	2013-10-05	100.00	110.00	10.00	451	49610.00	4510.00
moovne	2013-10-05	200.00	220.00	20.00	727	159940.00	14540.00
moovne	2013-10-05	500.00	550.00	50.00	440	242000.00	22000.00
moovne	2013-10-06	100.00	110.00	10.00	415	45650.00	4150.00
moovne	2013-10-06	200.00	220.00	20.00	667	146740.00	13340.00
moovne	2013-10-06	500.00	550.00	50.00	405	222750.00	20250.00
moovne	2013-10-07	100.00	110.00	10.00	417	45870.00	4170.00
moovne	2013-10-07	200.00	220.00	20.00	739	162580.00	14780.00
moovne	2013-10-07	500.00	550.00	50.00	413	227150.00	20650.00
moovne	2013-10-08	100.00	110.00	10.00	371	40810.00	3710.00
moovne	2013-10-08	200.00	220.00	20.00	688	151360.00	13760.00
moovne	2013-10-08	500.00	550.00	50.00	405	222750.00	20250.00
moovne	2013-10-09	100.00	110.00	10.00	422	46420.00	4220.00
moovne	2013-10-09	200.00	220.00	20.00	754	165880.00	15080.00
